Table 1
Farmacia;Nombre fantasía;RUT;RUT_SDV;Rut destinatario;Pais;Región;Comuna;Dirección;Telefono_fijo;Latitud;Longitud;Tipo;Horario;Proceso evaluacion;Venta Online;Despacho;Pagina Web
FARMACIA TRI-O FARMA;Farmacia Tri-O Farma;76484484-K;76484484;203562;Chile;I Región de Tarapacá;Iquique;Arturo Fernandez 1371 Local 1;*Sin Información;-20,221650;-70,144500;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA URGENCIA;Farmacia Urgencia;76422438-8;76422438;;Chile;XV Región de Arica y Parinacota;Arica;Cristobal Colon 511;582232155;-18,477500;-70,317910;Farmacia Independiente;Lunes a Sábado de 09:00 a 00:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA USYDAL;Farmacia Usydal;11929432-0;11929432;;Chile;X Región de Los Lagos;Dalcahue;Ramon Freire 555;652621727;-42,378860;-73,649960;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas;PENDIENTE;0;;
FARMACIA VALLE LAS RASTRAS;Farmacia Valle Las Rastras;77053193-4;77053193;;Chile;VII Región del Maule;Talca;21 1/2 Norte # 3326;*Sin Información;-35,400380;-71,646680;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA VERÓNICA;Farmacia Verónica;77390210-0;77390210;;Chile;X Región de Los Lagos;Calbuco;Antonio Varas 82;652462682;-41,769590;-73,127650;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y festivos de 10:00 a 22:00 horas;PENDIENTE;0;;
FARMACIA VERTICAL 1 PENALOLEN;Farmacia Vertical;76898101-9;76898101;;Chile;Región Metropolitana de Santiago;Peñalolén;Rio Claro 1450;965720033;-33,473581;-70,533337;Farmacia Independiente;Lunes a Viernes de 09:00 a 14:00 horas y de 16:00 a 19:00 horas y Sábado de 09:00 a 14:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA VERTICAL 2 LA REINA;Farmacia Vertical;76898101-9;76898101;;Chile;Región Metropolitana de Santiago;La Reina;Larrain 6793 Local 5;965720033;-33,452340;-70,559136;Farmacia Independiente;Lunes a Viernes de 09:00 a 14:00 horas y de 16:00 a 19:00 horas y Sábado de 09:00 a 14:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA VICTORIA;Farmacia Victoria;10971406-2;10971406;;Chile;VII Región del Maule;Talca;11 Oriente 2759;712218575;-35,410300;-71,645650;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:00 y Sábado de 09:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS VIDANUEVA;Farmacia Vidanueva;76669717-8;76669717;203512;Chile;VII Región del Maule;San Javier;Arturo Prat 2530;732323058;-35,594860;-71,733000;Farmacia Independiente;Lunes a Sábado de 10:00 a 20:30 horas;CONVENIO FIRMADO;0;;
FARMACIAS VIDANUEVA;Farmacia Vidanueva;76669717-8;76669717;203760;Chile;VII Región del Maule;Talca;1 Norte 1201 Local 1241;732323057;-35,426380;-71,659810;Farmacia Independiente;Lunes a Sábado de 10:00 a 20:30 horas;CONVENIO FIRMADO;0;;
Farmacias Ahorro;Farmacias Ahorro;76970681-k;76970681;;Chile;V Región de Valparaíso;Quilpué;Marga Marga 1505;*Sin Información;-33,054910;-71,427080;Farmacia Independiente;Lunes a Sábado de 10:00 a 16:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS BUENA SALUD SPA;Farmacias Buena Salud;76751334-8;76751334;203410;Chile;X Región de Los Lagos;Purranque;Pedro Montt 160;*Sin Información;-40,9122343;-73,1597989999999;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS ECO NAT;Farmacia Eco Nat;76421799-3;76421799;203489;Chile;IV Región de Coquimbo;Illapel;Constitucion 490;532525176;-31,631020;-71,164050;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ECONOSUR;Farmacias Econosur;14272182-1;14272182;203397;Chile;IX Región de La Araucanía;Villarrica;Pje. Roberto Bolaño 1890;*Sin Información;-39,306610;-72,216870;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIAS ELENA;Farmacias Elena;14732032-9;14732032;203335;Chile;Región Metropolitana de Santiago;Estación Central;Av. 5 De Abril 5940;22985456;-33,465690;-70,708560;Farmacia Independiente;Lunes a Domingo de 08:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIAS ELENA;Farmacias Elena;77145755-K;77145755;203335;Chile;Región Metropolitana de Santiago;Estación Central;Av. 5 De Abril 5940;22985456;-33,465690;-70,708560;Farmacia Independiente;Lunes a Domingo de 08:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Estación Central;Avda Gladys Marin Millie N°6997, Conjunto Habitacional Valle Dorado;228701900;-33,460850;-70,715340;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Estación Central;Avda Libertador Bernardo Ohiggins N°6002;228701900;-33,458062;-70,707264;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;La Granja;Avda Santa Rosa N°8850 A;228701900;-33,541610;-70,633880;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Lo Espejo;San Pablo N° 7185;228701900;-33,444450;-70,736160;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Lo Prado;San Pablo N°6179;228701900;-33,444150;-70,722980;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Pudahuel;Av Puerto Madero 9685;228701900;-33,450790;-70,781240;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Pudahuel;Avda San Pablo N°8919 A;228701900;-33,442820;-70,758450;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Pudahuel;San Pablo N°8735;228701900;-33,443970;-70,753560;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Quinta Normal;Avda Carrascal N°4496;228701900;-33,422470;-70,695830;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS ESPOZ SPA;Farmacia Espoz;76010779-4;76010779;;Chile;Región Metropolitana de Santiago;Quinta Normal;Avda San Pablo 4102, Local 8;228701900;-33,438234;-70,691499;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS GUARDIAN;Farmacias Guardian;76823256-3;76823256;203764;Chile;Región Metropolitana de Santiago;Santiago;San Antonio 371;*Sin Información;-33,4385304;-70,648273;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
Farmacias JVF SpA;Farmacias Jvf;76451021-6;76451021;203424;Chile;Región Metropolitana de Santiago;Santiago;San Pablo 3136;226827613;-33,435700;-70,678440;Farmacia Independiente;Lunes a Viernes de 09:00 a 18:00 horas;CONVENIO FIRMADO;1;Región Metropolitana;https://www.pharol.cl/pharmacies/jvf
FARMACIAS LOS ANDES I;Farmacias Los Andes I;76650816-2;76650816;;Chile;Región Metropolitana de Santiago;Santiago;Serrano 201;*Sin Información;-33,447150;-70,648980;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS MIFARMA SPA;Farmacias Mifarma;76523196-5;76523196;203399;Chile;IX Región de La Araucanía;Loncoche;Manuel Bulnes 301;*Sin Información;-39,370574;-72,630971;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS NEVADOS;Farmacias Nevados;76874551-k;76874551;;Chile;XVI Región de Ñuble;Chillán;Av Alonso De Ercilla 2780;*Sin Información;-36,625690;-72,078320;Farmacia Independiente;Lunes a Sábado de 10:00 a 21:30 horas y Domingo (incluyendo festivos) de 10:00 a 21:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIAS OSORNO;Farmacia Osorno;10803424-6;10803424;203694;Chile;X Región de Los Lagos;Osorno;Patricio Lynch 1598;642270042;-40,574320;-73,122870;Farmacia Independiente;Lunes a Sábado de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS PANUL;Farmacias Panul;76892928-9;76892928;203829;Chile;Región Metropolitana de Santiago;La Florida;Vicuña Mackenna Poniente 7431 Local 5;225526319;-33,5223717;-70,5995631999999;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS OSCAR ITURRIETA PINTO EIRL;Farmacias Pinto;77394420-2;77394420;203368;Chile;IX Región de La Araucanía;Angol;Lautaro 040;*Sin Información;-37,797960;-72,706050;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Domingo de 11:00 a 19:00 horas;CONVENIO FIRMADO;0;;
Farmacias El Real N°3;Farmacias Real;76486173-6;76486173s1;203341;Chile;Región Metropolitana de Santiago;Independencia;Avenida Domingo Santa Maria 1789;229295206;-33,415560;-70,663930;Farmacia Independiente;Lunes a Viernes de 10:00 a 14:00 horas y de 16:00 a 20:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
Farmacias El Real N°1;Farmacias Real;76486173-6;76486173;203425;Chile;Región Metropolitana de Santiago;Ñuñoa;Simón Bolivar 3751 A;232459954;-33,448620;-70,591700;Farmacia Independiente;Lunes a Sábado de 10:00 a 13:00 horas y de 16:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS RUDOLPH (COMERCIAL ENCANTOS DEL RANCO SPA);Farmacias Rudolph;76323639-0;76323639;;Chile;XIV Región de Los Ríos;Lago Ranco;Concepcion 620;632491352;-40,322490;-72,476380;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACEUTICA STEP LTDA.;Farmacias Step;78065960-2;78065960;203377;Chile;VIII Región del Biobío;Los Ángeles;Lautaro 594 Local 4;432630367;-37,470210;-72,353470;Farmacia Independiente;Lunes a Sábado de 08:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIAS SILVA Y GONZALEZ LTDA;Farmacias Syg;76525023-4;76525023;203387;Chile;II Región de Antofagasta;Calama;Avda. Granaderos 2205, Local 2;552866270;-22,4588057;-68,9285598;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIAS DE BARRIO LIMITADA 2 MAPOCHO;Farmacias Tierra Del Fuego;76798291-7;76798291;;Chile;Región Metropolitana de Santiago;Cerro Navia;Mapocho 7366 Local1;232286837;-33,422900;-70,742020;Farmacia Independiente;Lunes a Viernes de 10:00 a 14:00 horas y de 16:00 a 20:00 horas y Sábado de 09:00: a 14:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIAS DE BARRIO LIMITADA;Farmacias Tierra Del Fuego;76798291-7;76798291;;Chile;Región Metropolitana de Santiago;Cerro Navia;Salvador Gutierrez 7359;232286837;-33,418170;-70,740480;Farmacia Independiente;Lunes a Viernes de 10:00 a 14:00  horas y de 17:00:00 a 22:00 horas y Sábado de 10:00: a 14:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIAS TREBOL;Farmacias Trebol;76580420-5;76580420;203373;Chile;VIII Región del Biobío;Cabrero;Río Claro 160;432411297;-37,034520;-72,402270;Farmacia Independiente;Lunes a Viernes de 10:00 a 21:30 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACITY;Farmacity;9815879-0;9815879;203560;Chile;VII Región del Maule;Talca;20 Sur 318 Villa Ecuador;712310779;-35,442090;-71,678880;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACY;Farmacy;76780713-9;76780713;;Chile;Región Metropolitana de Santiago;Huechuraba;Santa Clara 301 Of 805 A;990793910;-33,388557;-70,619032;Farmacia Independiente;Lunes a Viernes de 10:00 a 16:00 horas;PENDIENTE;0;;
FARMAGRAN SPA;Farmagran;77084264-6;77084264;;Chile;Región Metropolitana de Santiago;Maipú;Las Parcelas 4085;945789120;-33,473120;-70,729390;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMAICAS POSTO VERDE;Farmacia Posto Verde;77876860-7;77876860;203697;Chile;VI Región del Libertador General Bernardo O’Higgins;Peumo;Sarmiento 378;722561521;-34,392740;-71,168110;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
COMERCIAL FARMACEUTICA FARMAINTEGRAL LIMITADA;Farmaintegral;76835263-1;76835263;203514;Chile;V Región de Valparaíso;Los Andes;Maipu 384, Centro Los Andes;*Sin Información;-32,834200;-70,597640;Farmacia Independiente;Lunes a Sábado de 09:00: a 14:00 horas y de 16:00 a 21:00 horas;EN PROCESO DE FIRMA;0;;
farmatotal;Farmatotal;76517998-k;76517998;203703;Chile;Región Metropolitana de Santiago;Providencia;Antonio Varas 398;232632646;-33,431200;-70,616240;Farmacia Independiente;Lunes a Sábado de 08:00 a 20:00 horas;CONVENIO FIRMADO;0;;
farmatotal;Farmatotal;76517998-k;76517998;203704;Chile;IX Región de La Araucanía;Villarrica;Vicente Reyes 675;452657532;-39,281720;-72,227630;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
Farmatotal;Farmatotal;76517998-k;76517998;203366;Chile;Región Metropolitana de Santiago;Santiago;Vicuña Mackenna 171B;226351124;-33,443190;-70,633660;Farmacia Independiente;Lunes a Viernes de 07:30 a 22:30 horas y Sábado a Domingo de 09:00 a 22:30 horas;CONVENIO FIRMADO;0;;
farmatotal;Farmatotal;76517998-k;76517998;203705;Chile;IX Región de La Araucanía;Villarrica;Camilo Henriquez 346;452414079;-39,280750;-72,225630;Farmacia Independiente;Lunes a Domingo de 09:00 a 22:00 horas;CONVENIO FIRMADO;0;;
FARMAVEN 2;Farmaven;76931142-4;76931142;;Chile;Región Metropolitana de Santiago;Cerrillos;Ciudad De Mexico 302;232868686;-33,509800;-70,736940;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMAVEN;Farmaven;76931142-4;76931142;;Chile;Región Metropolitana de Santiago;Santiago;Rozas 1175;232741583;-33,435350;-70,653950;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMAVITAL;Farmavital;76812380-2;76812380;;Chile;IV Región de Coquimbo;La Serena;Cienfuegos 451 La Serena;51-2214320;-29,902650;-71,247280;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMAX;Farmax;7663593-5;7663593;;Chile;XVI Región de Ñuble;Quillón;Avda. Cayumanqui N°407;56422581052;-36,742830;-72,474020;Farmacia Independiente;Lunes a Sábado (incluyendo festivos) de 09:00 a 21:00 horas ;PENDIENTE;0;;
FARMAZEN;Farmacia Farmazen;76746391-k;76746391;203698;Chile;V Región de Valparaíso;Villa Alemana;Victoria 0603;*Sin Información;-33,045766;-71,355556;Farmacia Independiente;Lunes a Domingo de 09:00 a 18:00 horas;EN PROCESO DE FIRMA;0;;
Farmex SpA;Farmacia Farmex;76831775-5;76831775;203345;Chile;Región Metropolitana de Santiago;Santiago;Coquimbo 1201;*Sin Información;-33,457120;-70,651220;Farmacia Independiente;Lunes a Viernes de 09:30 a 18:30 horas;CONVENIO FIRMADO;1;Todo Chile;www.farmex.cl
FERNANDO KURTH GONZALEZ;Fernando Kurth González;6504046-8;6504046;;Chile;Región Metropolitana de Santiago;Buin;Anibal Pinto 300;228213296;-33,733160;-70,738570;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FIJA;Fija;3741228-7;3741228;203395;Chile;IX Región de La Araucanía;Collipulli;Alcazar 1059;452812942;-37,958160;-72,435950;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:00 horas y Sábado de 10:00 a 15:00 horas;CONVENIO FIRMADO;0;;
FRACCIÓN SPA.;Farmacia Fracción;76885688-5;76885688;203579;Chile;Región Metropolitana de Santiago;Providencia;Antonio Bellet 302;233090682;-33,424940;-70,618920;Farmacia Independiente;Lunes a Viernes 09:00 a 20:00 horas y Sábado 10:00 a 18:00 horas.;CONVENIO FIRMADO;1;Todo Chile;www.fraccion.cl
FUNDACION ARTURO LOPEZ PEREZ;Fundacion Arturo Lopez Perez;70377400-8;70377400;;Chile;Región Metropolitana de Santiago;Providencia;Avenida Rancagua 878;224205141;-33,439060;-70,624700;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
GENNETIKA;Gennetika;76585397-4;76585397;;Chile;Región Metropolitana de Santiago;Peñalolén;Las Parcelas 8889;*Sin Información;-33,472360;-70,538910;Farmacia Independiente;Lunes a Domingo de 09:00 a 22:00 horas;EN PROCESO DE FIRMA;0;;
ICSFARMA S.P.A;Icsfarma;76822455-2;76822455;;Chile;Región Metropolitana de Santiago;Melipilla;Av. Vicuña Mackenna 202, Local 19;228649035;-33,680253;-71,210093;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
INSTAFARM SPA;Instafarm;76109297-9;76109297;203959;Chile;Región Metropolitana de Santiago;Macul;Escuela Agricola 2461;993165703;-33,490650;-70,607370;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
INSTITUTO DE CARIDAD HERMANDAD DE DOLORES;Instituto De Caridad Hermandad De Dolores;81775000-1;81775000;;Chile;Región Metropolitana de Santiago;Santiago;San Isidro N°218;226 330 382;-33,446120;-70,643910;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
INVERSIONES & SALUD ESFARMAX SPA;Inversiones & Salud Esfarmax;76901689-9;76901689;;Chile;IX Región de La Araucanía;Teodoro Schmidt;Av. Balmaceda 465;*Sin Información;-38,996200;-73,089070;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
JOES PHARMACY;Joe'S Pharmacy;76985924-1;76985924;;Chile;V Región de Valparaíso;Catemu;Ignacio Carrera Pinto 210;342434184;-32,777217;-70,964203;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
EMPRESA ZULIANA SPA - LIFEPHARMACY;Lifepharmacy;77041624-8;77041624;203629;Chile;Región Metropolitana de Santiago;San Bernardo;Avenida San Jose 501;972485102;-33,596340;-70,705370;Farmacia Independiente;Lunes a Viernes de 10:00 a 19:00 horas y Sábado de 10:30 a 14:30 horas;CONVENIO FIRMADO;0;;
MEDICAL STORES SPA;Medical Store;76923031-9;76923031;203349;Chile;Región Metropolitana de Santiago;Pudahuel;Av El Canal 19591 Local 124;*Sin Información;-33,448970;-70,844440;Farmacia Independiente;Lunes a Domingo de 10:00 a 23:00 horas ;CONVENIO FIRMADO;0;;
NOVASALUD.COM S.A;Farmacia Novasalud;96951490-7;96951490;;Chile;Región Metropolitana de Santiago;Santiago;San Martin 25;225990066;-33,444530;-70,657370;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
NUEVA FARMACIA LEBU;Nueva Farmacia Lebu;76575881-5;76575881;;Chile;VIII Región del Biobío;Lebu;Freire 444;412511779;-37,610180;-73,654640;Farmacia Independiente;Lunes a Domingo (Incluido festivos) de 09:00 a 13:00 horas y de 15:00 a 21:00 horas;PENDIENTE;0;;
Pharma puerto;Pharma Puerto;76746786-9;76746786;203356;Chile;V Región de Valparaíso;San Antonio;Barros Luco 2058;*Sin Información;-33,598570;-71,613200;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:00 horas;CONVENIO FIRMADO;0;;
QFARMA;Qfarma;76259147-2;76259147;;Chile;V Región de Valparaíso;Olmué;Prat 5122;332441226;-32,995480;-71,182700;Farmacia Independiente;Lunes a Viernes de 10:00 a 19:00 horas y Sábado a Domingo (incluyendo festivos) de 10:00 a 21:00 horas;PENDIENTE;0;;
RUPERTO ALARCON Y CIA LTDA;Ruperto Alarcon Y Cia Ltda;77205170-0;77205170;;Chile;X Región de Los Lagos;Osorno;Errazuriz 1298;642233094;-40,573110;-73,127570;Farmacia Independiente;Lunes a Sábado de 09:00 a 19:00 horas;PENDIENTE;0;;
SALUD ETERNA;Farmacia Salud Eterna;77030654-K;77030654;;Chile;Región Metropolitana de Santiago;Puente Alto;La Campana #2978;*Sin Información;-33,582370;-70,557040;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
SAN SEBASTIAN;San Sebastian;6440031-2;6440031;;Chile;Región Metropolitana de Santiago;El Bosque;Av. Padre Hurtado 11931;225293115;-33,567010;-70,672610;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
SANITEX;Sanitex;7440324-7;7440324;;Chile;XVI Región de Ñuble;Bulnes;Carlos Palacios N°339;56422631055;-36,743660;-72,297230;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas y Domingo (incluyendo festivos) de 08:30 a 21:30 horas;PENDIENTE;0;;
SEBFARMA;Sebfarma;11476263-6;11476263;203769;Chile;Región Metropolitana de Santiago;Santiago;Esperanza 15 Local 13 Y 14;226823533;-33,448420;-70,674570;Farmacia Independiente;Lunes a Viernes de 09:30 a 19:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
SOCIEDAD COMERCIAL FERSAL LIMITADA;Sociedad Comercial Fersal Limitada;76536088-9;76536088;;Chile;V Región de Valparaíso;Quilpué;Blanco 1023, Local 2;32-2910940;-33,046490;-71,438330;Farmacia Independiente;Lunes a Sábado de 09:00 a 14:00 horas y de 15:00 a 18:00 horas;PENDIENTE;0;;
SOCIEDAD COMERCIAL Y FARMACÉUTICA SANTA CRUZ LTDA;Sociedad Comercial Y Farmacéutica Santa Cruz;76000076-0;76000076;;Chile;VI Región del Libertador General Bernardo O’Higgins;Mostazal;Independencia 481;722491117;-33,980850;-70,712570;Farmacia Independiente;Lunes a Viernes de 09:30 a 21:00 horas y Sábado a Domingo (incluyendo festivos) de 09:30 a 21:30 horas;PENDIENTE;0;;
SOCIEDAD FARMACEUTICA Y COMERCIAL BELLFARMA LTDA;Sociedad Farmaceutica Y Comercial Bellfarma;76278324-k;76278324;;Chile;V Región de Valparaíso;San Felipe;Avenida Maipu 1121;342505835;-32,748610;-70,729640;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
SU FARMA;Su Farma;77032038-0;77032038;203440;Chile;V Región de Valparaíso;La Ligua;Ortiz De Rozas 754;*Sin Información;-32,449000;-71,233910;Farmacia Independiente;Lunes a Sábado de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
TODOFARMA;Todofarma;76967798-4;76967798;203488;Chile;Región Metropolitana de Santiago;Santiago;Marín 426;232853653;-33,447270;-70,640580;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:00 horas y Sábado de 010:00 a 15:00 horas;CONVENIO FIRMADO;0;;
TU FARMACIA;Tu Farmacia;76407876-4;76407876;203398;Chile;IX Región de La Araucanía;Galvarino;Calle Maipú 305 Local 11;*Sin Información;-38,414754;-72,782142;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
TU FARMACIA SPA;Tu Farmacia;77069155-9;77069155;;Chile;VI Región del Libertador General Bernardo O’Higgins;Rancagua;Caceres 591;652718801;-34,166470;-70,742620;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
TU FARMACIAONLINE;Tu Farmaciaonline;76856355-1;76856355;;Chile;Región Metropolitana de Santiago;Ñuñoa;San Eugenio 1543 Local 3;228614563;-33,453140;-70,628930;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
VIDAFARM;Vidafarm;76923707-0;76923707;;Chile;Región Metropolitana de Santiago;Recoleta;Avenida Zapadores 269,Recoleta;5698418071;-33,395480;-70,628800;Farmacia Independiente;Lunes a Viernes de 10:00 a 14:00 horas y de 16:00 a 20:00 horas y Sábado de 10:00: a 15:00 horas;PENDIENTE;0;;
FARMACIA DEL BARRIO;Farmacia Del Barrio;7679829-1;7679829;203342;Chile;Región Metropolitana de Santiago;Cerro Navia;Salvador Gutierrez 7359;*Sin Información;-33,418338;-70,740479;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
GENESIS;Farmacia Genesis;14692169-8;14692169;;Chile;I Región de Tarapacá;Alto Hospicio;Av. Teniente Hernan Merino Correa 3018 Locales 27-29;572490672;-20,269430;-70,095200;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
FARMACIA VIDAMED;Farmacia Vidamed;76869121-5;76869121;203910;Chile;I Región de Tarapacá;Iquique;Av. Lib. B. O´Higgins 1404-A;*Sin Información;-20,218907;-70,142051;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
FARMACIA MILAN;Farmacia Milan;77145963-3;77145963;203983;Chile;I Región de Tarapacá;Iquique;Eleuterio Ramirez 698;*Sin Información;-20,2147728;-70,1492154;Farmacia Independiente;*Sin Información;PENDIENTE;;;
FARMACIA TRI-O FARMA LOCAL 2;Farmacia Tri-O Farma;76484484-k;76484484;;Chile;I Región de Tarapacá;Iquique;Av. Salvador Allende 2399 Local 2;*Sin Información;-20,264609;-70,124170;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
FARMACIA ALGARROBOS;Farmacia Algarrobos;76994567-9;76994567;;Chile;I Región de Tarapacá;Iquique;Av Ramon Perez Opazo 2621 (Ex Chipana);*Sin Información;-20,251908;-70,126166;Farmacia Independiente;*Sin Información;PENDIENTE;;;
FARMACIA FARMANDINA;Farmacia Farmandina;76646498-K;76646498;;Chile;I Región de Tarapacá;Iquique;Avenida Progreso 2000 Local74;572410564;-20,227859;-70,131733;Farmacia Independiente;*Sin Información;PENDIENTE;;;
FARMACIA PENINSULA;Farmacia Peninsula;76941562-9;76941562;;Chile;I Región de Tarapacá;Iquique;Filomena Valenzuela 295 Local C;572570174;-20,236748;-70,149522;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
FARMACIA ALGARROBOS;Farmacia Algarrobos;76994567-9;76994567;;Chile;I Región de Tarapacá;Iquique;Av.Ramon Perez Opazo 2621;*Sin Información;-20,251909;-70,126168;Farmacia Independiente;*Sin Información;PENDIENTE;;;
LA BOTIKA;Farmacia La Botika;77128166-4;77128166;;Chile;I Región de Tarapacá;Iquique;Salvador Allende 3432 Of 101;572840214;-20,255209;-70,130993;Farmacia Independiente;*Sin Información;PENDIENTE;;;
COMERCIAL RIVERA Y DIBECAR SPA - FARMACIA NEOFARMA;Farmacia Neofarma;76946471-9;76946471;;Chile;I Región de Tarapacá;Iquique;Vivar #1191;229078933;-20,219340;-70,149017;Farmacia Independiente;*Sin Información;PENDIENTE;;;
SOCIEDAD DE FARMACIA GALENO SPA;Farmacia Galeno;76724575-0;76724575;;Chile;II Región de Antofagasta;Antofagasta;Las Cruces N°790 (Playa Blanca);*Sin Información;-23,675081;-70,408354;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
SOCIEDAD DE FARMACIA GALENO SPA;Farmacia Galeno;76724575-0;76724575;203890;Chile;II Región de Antofagasta;Antofagasta;Manuel Antonio Matta N°2019 Local 2;*Sin Información;-23,6535297;-70,4008352;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;;;
